2015-03-03 19:01:14 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:14 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:14 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:14 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:17 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:17 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:17 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:17 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:17 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:17 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:23 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:23 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:23 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:23 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:23 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:01:23 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-04 08:00:29 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 72 - Undefined index: userid 
2015-03-04 08:19:33 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 73 - Undefined index: userid 
2015-03-04 16:01:39 // Error File: C:\xampp\htdocs\RdG\invuser.php | Error Code: 8 | Error Line: 10 - Undefined variable: _SESSION 
